id,title,genres,averageRating,numVotes,releaseYear,Animated
tt0290988,Trailer Park Boys,"Comedy, Crime",8.5,52237,2001,no
tt0402711,Boston Legal,"Comedy, Crime, Drama",8.5,50826,2004,no
tt0237123,Coupling,"Comedy, Romance",8.5,48220,2000,no
tt0163507,Whose Line Is It Anyway?,"Comedy, Game-Show",8.5,47006,1998,no
tt3895150,Your Lie in April,"Comedy, Drama",8.5,40051,2014,yes
tt2359704,JoJo's Bizarre Adventure,"Action, Adventure",8.5,38014,2012,yes
tt0373732,The Boondocks,"Action, Comedy",8.5,36904,2005,yes
tt12714854,Mumbai Diaries,"Drama, Thriller",8.5,30859,2021,no
tt1526318,Borgen,Drama,8.5,30546,2010,no
tt11301642,Ethos,"Drama, Thriller",8.5,30060,2020,no
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29562,2009,no
tt0043208,I Love Lucy,Comedy,8.5,29428,1951,no
tt10802170,The Rehearsal,"Comedy, Documentary",8.5,27167,2022,no
tt9398466,Delhi Crime,"Crime, Drama",8.5,26865,2019,no
tt0075520,Jesus of Nazareth,"Biography, Drama, History",8.5,25380,1977,no
tt16296870,The Railway Men,"Drama, History, Thriller",8.5,25160,2023,no
tt1353056,RuPaul's Drag Race,"Game-Show, Reality-TV",8.5,23919,2009,no
tt0088727,Anne of Green Gables,"Drama, Family",8.5,23152,1985,no
tt0262985,Queer as Folk,"Drama, Romance",8.5,22826,2000,no
tt9522300,Kaguya-sama: Love is War,"Comedy, Romance",8.5,21907,2019,yes
tt11407524,Hostel Daze,"Comedy, Drama",8.5,21482,2019,no
tt2674806,Inside No. 9,"Comedy, Crime, Drama",8.5,21393,2014,no
tt7259746,Queer Eye,Reality-TV,8.5,21356,2018,no
tt0346314,Ghost in the Shell: Stand Alone Complex,"Action, Crime",8.5,21341,2002,yes
tt0182629,Rurouni Kenshin,"Action, Adventure",8.5,20894,1996,yes
tt6005644,TVF Tripling,"Comedy, Drama",8.5,20741,2016,no
tt1094229,Heartland,"Drama, Family",8.5,20657,2007,no
tt0397150,Garth Marenghi's Darkplace,"Comedy, Fantasy, Horror",8.5,20497,2004,no
tt3673794,Kingdom,"Drama, Sport",8.5,20010,2014,no
tt2155025,Please Like Me,"Comedy, Drama, Romance",8.5,19984,2013,no
tt0047708,Alfred Hitchcock Presents,"Crime, Drama, Mystery",8.5,19628,1955,no
tt12074628,Smiling Friends,"Comedy, Short",8.5,19426,2020,yes
tt0493331,Barareh Nights,Comedy,8.5,18694,2005,no
tt5425186,Horace and Pete,"Comedy, Drama",8.5,17755,2016,no
tt0070644,Scenes from a Marriage,Drama,8.5,17428,1973,no
tt4295140,Chef's Table,"Biography, Documentary",8.5,17264,2015,no
tt8317568,Broken But Beautiful,"Drama, Romance",8.5,17225,2018,no
tt0185133,Yu Yu Hakusho: Ghost Files,"Action, Adventure",8.5,16600,1992,yes
tt1230180,The Angry Video Game Nerd,"Action, Comedy, Sci-Fi",8.5,16006,2004,no
tt0131179,Detective Conan,"Action, Comedy",8.5,15908,1996,yes
tt6958022,The Defiant Ones,"Biography, Crime, Documentary",8.5,15781,2017,no
tt0061287,The Prisoner,"Drama, Mystery, Sci-Fi",8.5,15341,1967,no
tt11691684,Flower of Evil,"Crime, Mystery, Romance",8.5,15306,2020,no
tt0934320,Summer Heights High,"Comedy, Drama, Family",8.5,15251,2007,no
tt0098825,House of Cards,Drama,8.5,15245,1990,no
tt0807832,Mushi-Shi,"Drama, Fantasy",8.5,14978,2005,yes
tt26225038,Death's Game,"Drama, Fantasy",8.5,14780,2023,no
tt22185582,Sixer,"Drama, Sport",8.5,14131,2022,no
tt27867155,Mr Bates vs. The Post Office,"Biography, Drama",8.5,12774,2024,no
tt0315008,Great Teacher Onizuka,"Comedy, Drama",8.5,12076,1999,yes
tt0161952,Saint Seiya: Knights of the Zodiac,"Action, Adventure",8.5,11519,1986,yes
tt12369754,Staged,"Comedy, Drama",8.5,10672,2020,no
tt0062550,The Bugs Bunny/Road Runner Hour,Comedy,8.5,10349,1968,yes
tt11052470,Move to Heaven,Drama,8.5,10182,2021,no
tt2301351,RuPaul's Drag Race All Stars,"Game-Show, Reality-TV",8.5,10157,2012,no
tt1632701,Suits,"Comedy, Drama",8.4,497188,2011,no
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,495936,2005,no
tt11198330,House of the Dragon,"Action, Adventure, Drama",8.4,450555,2022,no
tt2467372,Brooklyn Nine-Nine,"Comedy, Crime",8.4,378964,2013,no
tt0285403,Scrubs,"Comedy, Drama",8.4,273729,2001,no
tt5675620,The Punisher,"Action, Crime, Drama",8.4,272408,2017,no
tt12637874,Fallout,"Action, Adventure, Drama",8.4,264694,2024,no
tt5834204,The Handmaid's Tale,"Drama, Sci-Fi, Thriller",8.4,264131,2017,no
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,260823,2008,no
tt3920596,Big Little Lies,"Crime, Drama, Mystery",8.4,230368,2017,no
tt7221388,Cobra Kai,"Action, Comedy, Drama",8.4,213309,2018,no
tt9561862,"Love, Death & Robots","Action, Adventure",8.4,204259,2019,yes
tt0285331,24,"Action, Crime, Drama",8.4,199299,2001,no
tt10155688,Mare of Easttown,"Crime, Drama, Mystery",8.4,196338,2021,no
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183303,2014,no
tt0387199,Entourage,"Comedy, Drama",8.4,178558,2004,no
tt9253284,Andor,"Action, Adventure, Drama",8.4,177640,2022,no
tt2401256,The Night Of,"Crime, Drama, Mystery",8.4,176886,2016,no
tt7657124,The Heroes,"Drama, History",8.4,168557,2008,yes
tt8398600,After Life,"Comedy, Drama",8.4,156850,2019,no
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156603,2010,no
tt0409591,Naruto,"Action, Adventure",8.4,135703,2002,yes
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130710,2013,no
tt2017109,Banshee,"Action, Crime, Drama",8.4,129779,2013,no
tt0458290,Star Wars: The Clone Wars,"Action, Adventure",8.4,125963,2008,yes
tt2149175,The Americans,"Crime, Drama, Mystery",8.4,114108,2013,no
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112344,2006,no
tt0118480,Stargate SG-1,"Action, Adventure, Drama",8.4,103117,1997,no
tt2788432,American Crime Story,"Biography, Crime, Drama",8.4,99939,2016,no
tt9059760,Normal People,"Drama, Romance",8.4,97410,2020,no
tt1220617,The Inbetweeners,Comedy,8.4,96074,2008,no
tt0060028,Star Trek,"Action, Adventure, Sci-Fi",8.4,94893,1966,no
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,87758,2018,no
tt1442462,The Good Wife,"Crime, Drama, Mystery",8.4,84416,2009,no
tt4189022,Ash vs Evil Dead,"Action, Comedy, Horror",8.4,81337,2015,no
tt0412253,Veronica Mars,"Crime, Drama, Mystery",8.4,79216,2004,no
tt1759761,Veep,Comedy,8.4,65968,2012,no
tt13616990,Chainsaw Man,"Action, Adventure",8.4,63783,2022,yes
tt0262150,Black Books,Comedy,8.4,62562,2000,no
tt5249462,Erased,"Crime, Drama",8.4,61654,2016,yes
tt0995832,Generation Kill,"Drama, War",8.4,60517,2008,no
tt0925266,Pushing Daisies,"Comedy, Drama, Fantasy",8.4,60102,2007,no
tt2384811,Utopia,"Drama, Mystery, Sci-Fi",8.4,52270,2013,no
tt0103584,X-Men,"Action, Adventure",8.4,51185,1992,yes
tt0319969,Carnivàle,"Drama, Fantasy, Mystery",8.4,47412,2003,no
tt5743796,Warrior,"Action, Crime, Drama",8.4,47352,2019,no
tt1227926,Dr. Horrible's Sing-Along Blog,"Comedy, Musical, Sci-Fi",8.4,44438,2008,no
tt11247158,The Legend of Vox Machina,"Action, Adventure",8.4,44254,2022,yes
tt1942683,The Amazing World of Gumball,"Adventure, Comedy",8.4,43926,2011,yes
tt1830379,Top Boy,"Crime, Drama, Thriller",8.4,42051,2011,no
tt0094582,The Wonder Years,"Comedy, Drama, Family",8.4,41518,1988,no
tt0056751,Doctor Who,"Adventure, Drama, Family",8.4,40163,1963,no
tt0458254,The Colbert Report,"Comedy, News, Talk-Show",8.4,39287,2005,no
tt7658402,Harley Quinn,"Action, Adventure",8.4,38945,2019,yes
tt0094535,Red Dwarf,"Comedy, Sci-Fi",8.4,37756,1988,no
tt0472027,John Adams,"Biography, Drama, History",8.4,37484,2008,no
tt2578560,Broad City,Comedy,8.4,36477,2014,no
